ZIP,SALE_PRICE,TOTAL_UNITS,GROSS_SQUARE_FEET,LAT,LNG
02130,46.00,1,,42.32357026201424,-71.10670813435179
02118,250.00,1,,42.33666003931316,-71.07502392758799
02118,185.00,1,,42.34403664189607,-71.07639142583984
02118,140.00,1,,42.341987082330284,-71.07970168974757
02118,150.00,1,,42.33745063900357,-71.07636722141862
02116,165.00,0,,42.34364881036866,-71.07912481988458
02118,275.00,1,,42.342108971213435,-71.0794000809645
02118,150.00,1,,42.34183606377488,-71.06475387663065
02116,225.00,2,,42.343641871311775,-71.07690397186802
02118,235.00,2,,42.33745977503256,-71.0746241517216
02118,189.00,1,,42.345496390463786,-71.06207974341547
02130,75.00,1,,42.29559333963887,-71.11530145575897
02116,215.00,1,,42.34327954116151,-71.07987037936745
02118,90.00,1,,42.34299962554208,-71.06594437369185
02118,250.00,2,,42.34362090082919,-71.067992576338
02116,195.00,0,,42.34511319689578,-71.07225420882385
02118,650.00,3,,42.34418162826196,-71.07143716063726
02116,189.00,1,,42.345491570394245,-71.074562288104
02118,225.00,1,,42.33659485343961,-71.07603148953406
02118,500.00,1,,42.34176322657491,-71.07539721966455
02116,149.00,1,,42.3459499892032,-71.07248994635422
02116,379.00,2,,42.345262249888926,-71.08078929797506
02130,500.00,3,,42.30433800980034,-71.10871729533055
02116,136.00,1,,42.348647836241426,-71.08433664130031
02116,359.00,2,,42.35454321454043,-71.07345475876546
02116,299.00,2,,42.34508846863622,-71.08016534170243
02116,110.00,0,,42.35380770989612,-71.07881418712098
02116,170.00,0,,42.351739609552965,-71.08173351968077
02116,130.00,0,,42.35362814191778,-71.07802598722238
02116,259.00,1,,42.34506726287071,-71.07925507254642
02116,100.00,1,,42.35261226840441,-71.07602728413896
02115,99.00,1,,42.34944852973999,-71.090417863281
02115,175.00,1,,42.347892709028734,-71.08735026908802
02130,60.00,1,,42.30443377187232,-71.10967688765845
02116,289.00,1,,42.34648977513371,-71.07975896686729
02115,209.00,,,42.34949627476548,-71.08595384961086
02215,80.00,1,,42.350461234336215,-71.08838128459587
02116,449.00,2,850,42.344471434571375,-71.08178606219539
